Date_Time,open,high,low,close,volume
2019-05-03,54.8,55.02,54.67,54.79,10434121
2019-05-02,54.81,55.05,54.46,54.6,9537979
2019-05-01,55.32,55.415,54.8,54.88,7792905
2019-04-30,55.06,55.38,54.835,55.33,10562254
2019-04-29,55.29,55.49,55.08,55.08,6442963
2019-04-26,55.22,55.49,55.01,55.41,7101579
2019-04-25,55.15,55.22,54.58,55.01,8226211
2019-04-24,55,55.53,54.96,55.18,8769848
2019-04-23,54.75,55.14,54.72,54.94,10923390
2019-04-22,54.4,54.68,54.2,54.62,6088127
2019-04-18,54.44,54.67,54.2259,54.52,8233110
2019-04-17,54.68,54.83,54.39,54.48,7792166
2019-04-16,54.67,54.91,54.325,54.59,7265205
2019-04-15,54.5,54.75,54.31,54.63,7694969
2019-04-12,54.1,54.5,53.87,54.5,9013994
2019-04-11,54.05,54.19,53.52,53.79,8147643
2019-04-10,53.62,54.16,53.6,53.97,8477336
2019-04-09,53.5,54.1,53.47,53.83,9789013
2019-04-08,53.73,53.925,53.33,53.72,10126799
2019-04-05,53.74,54.19,53.74,53.93,10016462
2019-04-04,53.86,54.15,53.41,53.82,9978761
2019-04-03,54.16,54.39,53.855,54.06,12853422
2019-04-02,54.41,54.5,53.88,54.15,10812078
2019-04-01,53.88,54.65,53.85,54.58,15191712
2019-03-29,53.47,53.735,53.25,53.71,11485721
2019-03-28,53,53.295,52.79,53.19,9103127
2019-03-27,53.28,53.65,52.31,52.81,12636047
2019-03-26,53.29,53.54,53.06,53.28,11657558
2019-03-25,52.56,52.94,52.234,52.74,11755914
2019-03-22,53.62,53.88,52.74,52.77,16201521
2019-03-21,52.63,54.05,52.35,54.04,16686327
2019-03-20,53.89,54.19,52.505,52.64,24111603
2019-03-19,53.8,54.375,53.75,54.04,19214018
2019-03-18,52.87,53.96,52.78,53.46,21953604
2019-03-15,51.4,53.39,51,52.94,43340219
2019-03-14,52.98,53.395,52.85,53.05,24000329
2019-03-13,53.06,53.47,52.74,53.06,19490842
2019-03-12,52.67,53.29,52.58,52.8,18048545
2019-03-11,51.94,53.175,51.905,52.66,20027695
2019-03-08,52.35,52.78,52.13,52.77,15071067
2019-03-07,52.2,53.13,52.19,52.58,16624134
2019-03-06,52.31,52.75,52.13,52.35,12389327
2019-03-05,52.04,52.5868,52.015,52.36,16291901
2019-03-04,52.67,52.845,51.57,52.04,14850055
2019-03-01,52.5,52.73,52.37,52.51,15757663
2019-02-28,52.2,52.51,52.045,52.13,31856866
2019-02-27,52.52,52.64,52.26,52.38,10674216
2019-02-26,52.46,52.88,52.2401,52.6,12041308
2019-02-25,52.75,53.03,52.46,52.56,14722184
2019-02-22,52.39,52.6,52.2,52.48,11689681
2019-02-21,51.63,52.35,51.51,52.11,14759499
2019-02-20,52,52.205,51.5,51.77,13440874
2019-02-19,51.48,52.18,51.24,52.02,12357469
2019-02-15,51.13,51.72,51.07,51.72,13822166
2019-02-14,51.24,51.75,51.09,51.48,11155293
2019-02-13,51.25,51.55,50.95,51.42,11342571
2019-02-12,51.46,51.55,51.19,51.22,14188483
2019-02-11,50.96,51.475,50.95,51.23,9714510
2019-02-08,50.09,51.03,49.82,51.03,11535561
2019-02-07,50.79,50.985,50.17,50.22,14905039
2019-02-06,51.19,51.49,50.97,51.26,9220899
2019-02-05,51.17,51.37,50.885,51.24,13345467
2019-02-04,50.38,51.25,50.38,51.03,12221237
2019-02-01,50.52,51.095,50.29,50.81,14849598
2019-01-31,50.24,50.5,50.07,50.23,20403558
2019-01-30,49.86,50.5,49.6,50.36,13483753
2019-01-29,49.39,49.92,49.19,49.61,10838600
2019-01-28,49.45,49.73,49.21,49.52,11799138
2019-01-25,49.6,49.9,49.45,49.8,16656580
2019-01-24,49.26,49.43,48.87,49.2,11442236
2019-01-23,49.19,49.48,48.83,49.24,15551202
2019-01-22,48.84,49.17,48.66,48.94,13318705
2019-01-18,48.94,49.57,48.87,49.27,15930597
2019-01-17,48.01,48.91,47.81,48.58,12711208
2019-01-16,48.58,48.785,48.05,48.06,14114001
2019-01-15,47.47,48.525,47.41,48.38,12142144
2019-01-14,47.85,48.34,47.62,48.18,14869411
2019-01-11,47.67,48.6197,47.37,48.29,16397521
2019-01-10,47.38,47.98,46.88,47.82,16652730
2019-01-09,46.64,48.23,46.61,47.78,19100183
2019-01-08,47.93,48.36,47.2,47.88,16255688
2019-01-07,46.93,48.105,46.47,47.45,17967907
2019-01-04,45.37,46.95,45.25,46.71,20983953
2019-01-03,44.75,45.5,44.41,44.78,19868713
2019-01-02,44.48,45.34,44.45,45.22,14320441
2018-12-31,45.19,45.5,44.84,45.15,14932651
2018-12-28,45.14,45.765,44.74,44.82,39141279
2018-12-27,43.95,45.09,43.46,44.97,19048702
2018-12-26,43,44.61,42.4,44.59,21428929
2018-12-24,43.77,43.82,42.68,42.69,17230381
2018-12-21,46.08,46.21,43.86,44,58768410
2018-12-20,46.05,46.95,45.48,46.24,35165179
2018-12-19,46.06,47.44,45.75,46.45,34397250
2018-12-18,48.1,48.34,45.44,45.85,42855600
2018-12-17,46.42,47.23,45.53,45.73,30441145
2018-12-14,46.78,47.033,46.41,46.6,21434449
2018-12-13,47.48,47.545,46.75,47.23,23295388
2018-12-12,47.11,48.11,47.0075,47.32,21404010
2018-12-11,46.98,47.13,46.06,46.46,22680164
2018-12-10,46.01,47.08,45.335,46.67,26375511
2018-12-07,46.76,47.04,45.805,46,23978045
2018-12-06,47.75,47.77,45.65,46.68,39877047
2018-12-04,49.52,50.22,48.71,48.75,24643471
2018-12-03,49.44,50.12,49.21,49.83,21966591
2018-11-30,48.09,48.84,47.71,48.76,22884489
2018-11-29,48.38,48.38,47.44,47.9,17052085
2018-11-28,47.73,48.25,47.37,48.19,29352889
2018-11-27,47.92,47.98,46.785,47.44,28054617
2018-11-26,49.16,49.16,48.095,48.26,21603804
2018-11-23,48.04,49.115,48.04,48.7,7807298
2018-11-21,48.76,49.175,48.53,48.62,13859507
2018-11-20,48.67,49.07,47.96,48.33,19389607
2018-11-19,51.05,51.1,49.4,49.55,19520494
2018-11-16,50.53,51.445,50.42,51.17,20929570
2018-11-15,50.04,50.69,49.05,50.63,24922802
2018-11-14,49.97,49.97,48.74,48.84,16093969
2018-11-13,49.47,50,49.24,49.51,13550762
2018-11-12,50.17,50.38,49.11,49.22,14374352
2018-11-09,50.42,50.815,50.31,50.61,15316391
2018-11-08,50.22,50.5,50.07,50.43,11967073
2018-11-07,49.58,50.5,49.47,50.26,14330012
2018-11-06,49.1,49.47,48.83,49.25,12362678
2018-11-05,49,49.13,48.5,49.02,13125823
2018-11-02,48.93,49.02,48.24,48.83,17289522
2018-11-01,48.96,49.24,48.34,48.59,17764930
2018-10-31,49.05,49.45,48.59,48.84,21082852
2018-10-30,47.08,48.62,46.92,48.57,24438150
2018-10-29,47.81,48.09,46.335,47.02,19248721
2018-10-26,47.24,48.07,46.71,47.32,23089139
2018-10-25,47.42,48.29,47.28,47.96,19349505
2018-10-24,47.88,48.3,46.7,46.76,20028237
2018-10-23,47.16,48.32,47.12,47.99,18921508
2018-10-22,47.85,48.485,47.71,47.94,16480411
2018-10-19,47.5,48.24,47.35,47.59,17768405
2018-10-18,47.57,48.135,47.13,47.38,15084839
2018-10-17,47.43,48.2366,47.43,47.86,15071061
2018-10-16,47.57,48.42,47.47,48.23,13600168
2018-10-15,46.96,47.62,46.87,47.12,15693598
2018-10-12,47.4,47.75,46.66,47.38,23152878
2018-10-11,47.33,47.886,46.49,46.78,26387578
2018-10-10,48.81,48.98,47.37,47.4,20885381
2018-10-09,49.11,49.4,48.825,48.87,19009806
2018-10-08,49.27,49.64,48.895,49.36,16295812
2018-10-05,49.42,49.765,49.115,49.35,16900168
2018-10-04,49.68,49.78,49.17,49.47,19033961
2018-10-03,49.59,50.1,49.59,49.75,21207699
2018-10-02,51.65,51.8,50.13,50.23,22406822
2018-10-01,51.22,51.99,51.14,51.8,19217922
2018-09-28,51.54,52.01,51.49,51.56,16234246
2018-09-27,51.56,52.02,51.33,51.69,17993500
2018-09-26,51.75,52.11,51.555,51.63,18131040
2018-09-25,51.39,51.93,50.97,51.72,18665820
2018-09-24,50.81,51.6,50.71,51.24,23906147
2018-09-21,50.83,51.12,50.35,51.1,50752079
2018-09-20,49.66,51.075,49.56,50.43,26973480
2018-09-19,48.92,49.54,48.66,49.43,20904826
2018-09-18,47.51,49.54,47.36,49.03,33451106
2018-09-17,49.31,49.94,49.105,49.18,29225048
2018-09-14,48.94,49.45,48.94,49.25,20066084
2018-09-13,49.28,49.745,48.88,48.96,22124422
2018-09-12,48.75,49.465,48.62,49.34,17058745
2018-09-11,48.52,49.05,48.52,48.92,14877344
2018-09-10,48,49.05,48,48.86,20390567
2018-09-07,47.46,47.99,47.33,47.81,20513945
2018-09-06,47.95,48.22,47.52,47.71,18456181
2018-09-05,48.41,48.485,47.785,48.04,16437911
2018-09-04,48.36,48.83,48.16,48.58,17289045
2018-08-31,48.38,48.63,48.35,48.58,17844087
2018-08-30,48.89,48.89,48.31,48.38,15154895
2018-08-29,48.64,49.1,48.64,48.89,17307730
2018-08-28,49.39,49.43,48.595,48.64,15475698
2018-08-27,49.41,49.7,49.285,49.33,12253333
2018-08-24,49,49.39,48.97,49.26,14011940
2018-08-23,48.8,49.335,48.68,48.96,11026688
2018-08-22,48.34,48.91,48.24,48.8,11639421
2018-08-21,48.58,48.64,48.37,48.41,10187882
2018-08-20,48.4,48.6,48.26,48.42,11936737
2018-08-17,48.21,48.5,47.99,48.36,11411979
2018-08-16,48.14,48.45,48.04,48.1,11874326
2018-08-15,48.1,48.26,47.525,47.84,14091015
2018-08-14,48.12,48.35,47.94,48.23,11513673
2018-08-13,48.34,48.59,47.97,48.01,12152082
2018-08-10,48.37,48.72,48.231,48.32,10502185
2018-08-09,48.27,48.71,48.27,48.54,14708037
2018-08-08,48.42,48.62,48.26,48.39,10849532
2018-08-07,48.94,48.95,48.465,48.48,11608045
2018-08-06,48.29,48.76,48.22,48.67,13529328
2018-08-03,47.92,48.48,47.9,48.47,14295805
2018-08-02,47.04,48.07,46.63,47.9,14227415
2018-08-01,47.91,48.22,47.15,47.35,22933594
2018-07-31,47.9,48.08,47.39,47.68,18808220
2018-07-30,48.58,48.58,47.46,47.73,20167307
2018-07-27,48.99,49.12,48.38,48.63,14856123
2018-07-26,48.85,49.17,48.76,48.87,15229974
